X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0,0.007712175,0.047993299,298.4428711,0.016338848,-0.004674994
0,0.007728191,0.047993299,298.4459839,0.016478496,-0.00466676
0,0.007744207,0.047993299,298.4490967,0.016618295,-0.004658525
0,0.007760223,0.047993299,298.452179,0.016758239,-0.004650291
0,0.007776239,0.047993299,298.4552918,0.016898327,-0.004642056
0,0.007792255,0.047993299,298.458374,0.017038554,-0.004633822
0,0.007808271,0.047993299,298.4614258,0.017176254,-0.004623576
0,0.007824287,0.047993299,298.4644165,0.017313153,-0.004612621
0,0.007840303,0.047993299,298.4674072,0.017450193,-0.004601667
0,0.007856319,0.047993299,298.4705811,0.017594211,-0.004597931
0,0.007872335,0.047993299,298.473999,0.017742796,-0.004600992
0,0.007888351,0.047993299,298.4777527,0.017859895,-0.004581824
0,0.007904367,0.047993299,298.4815064,0.017977137,-0.004562655
0,0.007920383,0.047993299,298.4852295,0.018094525,-0.004543486
0,0.007936399,0.047993299,298.4890137,0.018220073,-0.004532014
0,0.007952415,0.047993299,298.4927979,0.018352648,-0.004527194
0,0.00796843,0.047993299,298.4965515,0.018485302,-0.004522373
0,0.007984446,0.047993299,298.5003357,0.018618036,-0.004517553
0,0.008000462,0.047993299,298.5041504,0.018750968,-0.004513189
0,0.008016478,0.047993299,298.5085449,0.018872354,-0.004512514
0,0.008032494,0.047993299,298.513092,0.018992707,-0.004512441
0,0.00804851,0.047993299,298.5176392,0.019113107,-0.004512369
0,0.008064526,0.047993299,298.5221558,0.019233551,-0.004512295
0,0.008080542,0.047993299,298.5266724,0.019354038,-0.004512223
0,0.008096558,0.047993299,298.531189,0.01947457,-0.00451215
0,0.008112574,0.047993299,298.5357361,0.019595143,-0.004512077
0,0.00812859,0.047993299,298.5404358,0.019700188,-0.004496504
0,0.008144606,0.047993299,298.5454407,0.019782232,-0.004460625
0,0.008160622,0.047993299,298.5505066,0.019863559,-0.004426095
0,0.008176638,0.047993299,298.555542,0.019945031,-0.004391564
0,0.008192654,0.047993299,298.5606079,0.020026652,-0.004357033
0,0.00820867,0.047993299,298.5660706,0.020111963,-0.004349137
0,0.008224686,0.047993299,298.5716858,0.020198697,-0.00435169
0,0.008240702,0.047993299,298.577301,0.020285448,-0.004354242
0,0.008256718,0.047993299,298.5828857,0.02037221,-0.004356795
0,0.008272734,0.047993299,298.588562,0.020458989,-0.004359348
0,0.00828875,0.047993299,298.5941162,0.020546034,-0.004363556
0,0.008304765,0.047993299,298.5996399,0.020628406,-0.004364572
0,0.008320781,0.047993299,298.6064453,0.020658862,-0.004312871
0,0.008336797,0.047993299,298.6131592,0.02068167,-0.004246156
0,0.008352813,0.047993299,298.6198731,0.020703562,-0.004177173
0,0.008368829,0.047993299,298.6265564,0.020725725,-0.004108189
0,0.008384845,0.047993299,298.6333008,0.020748159,-0.004039205
0,0.008400861,0.047993299,298.6400147,0.020770865,-0.003970222
0,0.008416877,0.047993299,298.646698,0.020793837,-0.003901238
0,0.008432893,0.047993299,298.6535339,0.02081692,-0.003840685
0,0.008448909,0.047993299,298.6608582,0.020839507,-0.003813591
0,0.008464925,0.047993299,298.6682129,0.02086214,-0.003786497
0,0.008480941,0.047993299,298.6763001,0.020832926,-0.003679718
0,0.008496957,0.047993299,298.6848145,0.020777181,-0.003530973
0,0.008512973,0.047993299,298.6933289,0.020722402,-0.003382227
0,0.008528989,0.047993299,298.7018127,0.02066859,-0.003233482
0,0.008545005,0.047993299,298.7102661,0.020613024,-0.003078384
0,0.008561021,0.047993299,298.7186585,0.020555176,-0.002915363
0,0.008577037,0.047993299,298.7270813,0.020498522,-0.002752343
0,0.008593053,0.047993299,298.7355957,0.020438772,-0.002584541
0,0.008609069,0.047993299,298.7454834,0.020337848,-0.002369027
0,0.008625085,0.047993299,298.7553101,0.020238994,-0.002153513
0,0.008641101,0.047993299,298.7650757,0.020145388,-0.001949192
0,0.008657116,0.047993299,298.7742615,0.020072226,-0.001812643
0,0.008673132,0.047993299,298.7833862,0.019999906,-0.001676094
0,0.008689148,0.047993299,298.793396,0.019893302,-0.001463138
0,0.008705164,0.047993299,298.8041077,0.019758312,-0.001181845
0,0.00872118,0.047993299,298.8148193,0.019627117,-0.000900552
0,0.008737196,0.047993299,298.8256226,0.01949889,-0.000581594
0,0.008753212,0.047993299,298.8364258,0.019375665,-0.00024636
0,0.008769228,0.047993299,298.8471985,0.019258184,8.88744E-05
0,0.008785244,0.047993299,298.8585815,0.019128341,0.000457775
0,0.00880126,0.047993299,298.8702698,0.018996401,0.000844631
0,0.008817276,0.047993299,298.881958,0.018872587,0.001231487
0,0.008833292,0.047993299,298.8936768,0.01875706,0.001618343
0,0.008849308,0.047993299,298.9053345,0.018649979,0.002005199
0,0.008865324,0.047993299,298.9188843,0.018518163,0.002529488
0,0.00888134,0.047993299,298.9324951,0.018400505,0.003063219
0,0.008897356,0.047993299,298.946106,0.018299874,0.00359695
0,0.008913372,0.047993299,298.9598389,0.018220319,0.004158698
0,0.008929388,0.047993299,298.973877,0.018172504,0.004793548
0,0.008945404,0.047993299,298.9878845,0.018149229,0.005428398
0,0.00896142,0.047993299,299.0019226,0.018150585,0.006063248
0,0.008977436,0.047993299,299.0159302,0.018176571,0.006698099
0,0.008993452,0.047993299,299.0299377,0.018227076,0.007332948
0,0.009009467,0.047993299,299.0444946,0.018342931,0.008063156
0,0.009025483,0.047993299,299.0592041,0.018502841,0.008822152
0,0.009041499,0.047993299,299.0739441,0.018694621,0.009581149
0,0.009057515,0.047993299,299.0890808,0.018929511,0.010377152
0,0.009073531,0.047993299,299.1061707,0.019264123,0.011351768
0,0.009089547,0.047993299,299.12323,0.019645082,0.012326385
0,0.009105563,0.047993299,299.1403503,0.020069752,0.013301002
0,0.009121579,0.047993299,299.1574097,0.020535419,0.014275619
0,0.009137595,0.047993299,299.17453,0.021030193,0.015241886
0,0.009153611,0.047993299,299.1915894,0.021549862,0.016198672
0,0.009169627,0.047993299,299.2099304,0.022305565,0.017417766
0,0.009185643,0.047993299,299.2287598,0.023188235,0.018741252
0,0.009201659,0.047993299,299.2476196,0.024114506,0.02006474
0,0.009217675,0.047993299,299.2662354,0.025056806,0.021361563
0,0.009233691,0.047993299,299.2848206,0.026022321,0.022646565
0,0.009249707,0.047993299,299.3033752,0.027017344,0.023931563
0,0.009265723,0.047993299,299.3219299,0.028038738,0.025216563
0,0.009281739,0.047993299,299.3405151,0.029083727,0.026501562
0,0.009297755,0.047993299,299.3609619,0.030356271,0.028021636
0,0.009313771,0.047993299,299.3814697,0.031655386,0.029543683
0,0.009329787,0.047993299,299.4019165,0.032976426,0.031065732
0,0.009345803,0.047993299,299.4223938,0.03431686,0.032587778
0,0.009361818,0.047993299,299.4437866,0.035856359,0.034300584
0,0.009377834,0.047993299,299.466919,0.0377625,0.036376912
0,0.00939385,0.047993299,299.4899902,0.039688174,0.038453236
0,0.009409866,0.047993299,299.5131226,0.041630678,0.040529568
0,0.009425882,0.047993299,299.5362549,0.043587748,0.042605892
0,0.009441898,0.047993299,299.5593567,0.045557514,0.044682216
0,0.009457914,0.047993299,299.582428,0.047538407,0.046758547
0,0.00947393,0.047993299,299.6055603,0.049528122,0.048833933
0,0.009489946,0.047993299,299.6286011,0.051519424,0.050902356
0,0.009505962,0.047993299,299.6516724,0.053518411,0.052970782
0,0.009521978,0.047993299,299.6747131,0.055524256,0.055039208
0,0.009537994,0.047993299,299.6977539,0.057536241,0.057107635
0,0.00955401,0.047993299,299.7208252,0.059553739,0.059176061
0,0.009570026,0.047993299,299.7441406,0.061673168,0.061341334
0,0.009586042,0.047993299,299.7704468,0.064486541,0.064198814
0,0.009602058,0.047993299,299.7967529,0.067420863,0.067171253
0,0.009618074,0.047993299,299.8231201,0.07036005,0.070144199
0,0.00963409,0.047993299,299.8494263,0.073303103,0.073117152
0,0.009650106,0.047993299,299.8757324,0.07624957,0.076090097
0,0.009666122,0.047993299,299.9020996,0.079199076,0.07906305
0,0.009682138,0.047993299,299.9284363,0.082151279,0.082035996
0,0.009698154,0.047993299,299.9547424,0.085105918,0.085008942
0,0.009714169,0.047993299,299.9811096,0.088062741,0.087981895
0,0.009730185,0.047993299,300.0074463,0.091021523,0.09095484
0,0.009746201,0.047993299,300.033783,0.093982093,0.093927793
0,0.009762217,0.047993299,300.0601196,0.096944295,0.096900746
0,0.009778233,0.047993299,300.0866699,0.099997938,0.099963568
0,0.009794249,0.047993299,300.1145325,0.103483275,0.103456527
0,0.009810265,0.047993299,300.1424561,0.106990375,0.106970184
0,0.009826281,0.047993299,300.1703796,0.110498585,0.110483855
0,0.009842297,0.047993299,300.1992493,0.114338212,0.114327878
0,0.009858313,0.047993299,300.2288513,0.118472762,0.118465878
0,0.009874329,0.047993299,300.2584534,0.12260811,0.122603893
0,0.009890345,0.047993299,300.2880554,0.126744166,0.126741901
0,0.009906361,0.047993299,300.317688,0.130880848,0.130879909
0,0.009922377,0.047993299,300.34729,0.13501814,0.135017932
0,0.009938393,0.047993299,300.3768921,0.139155939,0.139155939
0,0.009954409,0.047993299,300.4064941,0.14329423,0.143293947
0,0.009970425,0.047993299,300.4356079,0.147324964,0.147323966
0,0.009986441,0.047993299,300.4642334,0.151326165,0.151324183
0,0.010002457,0.047993299,300.4928589,0.155353099,0.155349836
0,0.010018473,0.047993299,300.5237122,0.160176143,0.160171509
0,0.010034489,0.047993299,300.5545349,0.164999351,0.164993167
0,0.010050505,0.047993299,300.585083,0.169817224,0.169809401
0,0.01006652,0.047993299,300.6154785,0.174675882,0.174666375
0,0.010082536,0.047993299,300.6459961,0.179598764,0.179587483
0,0.010098552,0.047993299,300.6765137,0.184521765,0.184508592
0,0.010114568,0.047993299,300.7070313,0.18944487,0.1894297
0,0.010130584,0.047993299,300.7375488,0.19436805,0.194350809
0,0.0101466,0.047993299,300.7680664,0.199291304,0.199271917
0,0.010162616,0.047993299,300.7986145,0.204214647,0.204193026
0,0.010178632,0.047993299,300.8296509,0.209326655,0.209302753
0,0.010194648,0.047993299,300.861084,0.214828983,0.214803159
0,0.010210664,0.047993299,300.8923645,0.220419079,0.220391542
0,0.01022668,0.047993299,300.923645,0.22600919,0.225979924
0,0.010242696,0.047993299,300.9549255,0.231599331,0.231568322
0,0.010258712,0.047993299,300.9862061,0.237189472,0.237156689
0,0.010274728,0.047993299,301.0174255,0.242790058,0.242755532
0,0.010290744,0.047993299,301.0486145,0.248409048,0.248372823
0,0.01030676,0.047993299,301.0797424,0.254028052,0.253990114
0,0.010322776,0.047993299,301.1109009,0.259647071,0.259607434
0,0.010338792,0.047993299,301.1420288,0.265266061,0.265224695
0,0.010354808,0.047993299,301.1733704,0.270977259,0.270934254
0,0.010370824,0.047993299,301.2056885,0.277203053,0.277158886
0,0.01038684,0.047993299,301.2383423,0.28361544,0.28357026
0,0.010402856,0.047993299,301.2710571,0.290007442,0.289961159
0,0.010418871,0.047993299,301.3038025,0.296391517,0.296344131
0,0.010434887,0.047993299,301.3365173,0.302775621,0.302727133
0,0.010450903,0.047993299,301.3692627,0.309159726,0.309110105
0,0.010466919,0.047993299,301.4019775,0.31554386,0.315493107
0,0.010482935,0.047993299,301.4346619,0.32192871,0.321876884
0,0.010498951,0.047993299,301.4671326,0.328315407,0.328262597
0,0.010514967,0.047993299,301.4996033,0.334702134,0.334648341
0,0.010530983,0.047993299,301.5321045,0.341088831,0.341034055
0,0.010546999,0.047993299,301.5648193,0.347770274,0.34771499
0,0.010563015,0.047993299,301.5974121,0.354479969,0.354424268
0,0.010579031,0.047993299,301.6300354,0.361189663,0.361133575
0,0.010595047,0.047993299,301.6629944,0.367996514,0.367940038
0,0.010611063,0.047993299,301.696167,0.374888092,0.374831259
0,0.010627079,0.047993299,301.7294312,0.38177973,0.38172257
0,0.010643095,0.047993299,301.7626343,0.388671309,0.38861379
0,0.010659111,0.047993299,301.7952881,0.395455539,0.395397693
0,0.010675127,0.047993299,301.8280029,0.402234286,0.402176112
0,0.010691143,0.047993299,301.8618774,0.409446389,0.409388274
0,0.010707159,0.047993299,301.8959961,0.41674158,0.416683585
0,0.010723175,0.047993299,301.9295044,0.423886985,0.423829109
0,0.010739191,0.047993299,301.9629211,0.431031436,0.430973679
0,0.010755207,0.047993299,301.99646,0.438174188,0.43811661
0,0.010771222,0.047993299,302.0299683,0.445316881,0.445259482
0,0.010787238,0.047993299,302.0635071,0.452459604,0.452402353
0,0.010803254,0.047993299,302.0970459,0.459602326,0.459545255
0,0.01081927,0.047993299,302.1305542,0.466745108,0.466688156
0,0.010835286,0.047993299,302.1640625,0.473887801,0.473830998
0,0.010851302,0.047993299,302.1975708,0.481030583,0.480973899
0,0.010867318,0.047993299,302.2314148,0.488295496,0.488239139
0,0.010883334,0.047993299,302.2655335,0.495625109,0.49556917
0,0.01089935,0.047993299,302.2994995,0.502949834,0.502894342
0,0.010915366,0.047993299,302.3335266,0.51027,0.510214984
0,0.010931382,0.047993299,302.3675537,0.517590165,0.517535627
0,0.010947398,0.047993299,302.4015503,0.52491945,0.524865389
0,0.010963414,0.047993299,302.4361572,0.532338917,0.532285392
0,0.01097943,0.047993299,302.4707642,0.539758384,0.539705396
0,0.010995446,0.047993299,302.5053711,0.547177851,0.547125399
0,0.011011462,0.047993299,302.539978,0.554597378,0.554545403
0,0.011027478,0.047993299,302.574585,0.562016964,0.561965466
0,0.011043494,0.047993299,302.6091919,0.569436371,0.569385409
0,0.01105951,0.047993299,302.6437683,0.576855898,0.576805413
0,0.011075526,0.047993299,302.6784058,0.584275425,0.584225416
0,0.011091542,0.047993299,302.712738,0.591616094,0.591566563
0,0.011107558,0.047993299,302.7471008,0.598892748,0.598843932
0,0.011123573,0.047993299,302.7814636,0.606169403,0.606121302
0,0.011139589,0.047993299,302.8158569,0.613445997,0.613398612
0,0.011155605,0.047993299,302.8502197,0.620722711,0.620675981
0,0.011171621,0.047993299,302.8852539,0.628097951,0.628051937
0,0.011187637,0.047993299,302.9198303,0.635366082,0.635320842
0,0.011203653,0.047993299,302.9537048,0.6424914,0.642446995
0,0.011219669,0.047993299,302.9876099,0.649616838,0.649573207
0,0.011235685,0.047993299,303.0215454,0.656742454,0.656699538
0,0.011251701,0.047993299,303.0554504,0.663867891,0.66382575
