 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01303885,2.45398426,2.45242977
0.01304465,2.45430517,2.45274973
0.01305046,2.45461488,2.45305872
0.01305627,2.45492506,2.45336795
0.01306207,2.45523524,2.45367765
0.01306788,2.45554614,2.45398808
0.01307368,2.45585704,2.45429826
0.01307949,2.45622158,2.45466065
0.0130853,2.45658827,2.45502496
0.0130911,2.45695543,2.45538998
0.01309691,2.45732307,2.45575547
0.01310271,2.45769238,2.45612288
0.01310852,2.45806336,2.45649147
0.01311432,2.45843458,2.45686126
0.01312013,2.45880651,2.45723104
0.01312594,2.45917797,2.45760107
0.01313174,2.45955038,2.45797133
0.01313755,2.45992589,2.45834517
0.01314335,2.46035576,2.45877957
0.01314916,2.46078587,2.45921421
0.01315497,2.46121621,2.45964861
0.01316077,2.46164727,2.46008396
0.01316658,2.46207857,2.46051955
0.01317238,2.46250987,2.46095538
0.01317819,2.46294165,2.46139145
0.013184,2.4633739,2.46182823
0.0131898,2.46380639,2.46226501
0.01319561,2.46421981,2.46268249
0.01320141,2.46461701,2.46308398
0.01320722,2.46501446,2.463485
0.01321302,2.46545744,2.46393323
0.01321883,2.46592808,2.46441031
0.01322464,2.46639919,2.4648881
0.01323044,2.46687078,2.46536613
0.01323625,2.4673419,2.46584344
0.01324205,2.46781325,2.46632123
0.01324786,2.46828508,2.46679878
0.01325367,2.46875715,2.46727729
0.01325947,2.4692297,2.46775603
0.01326528,2.46970224,2.46823478
0.01327108,2.47022152,2.46876311
0.01327689,2.47078109,2.46933413
0.01328269,2.47134113,2.46990538
0.0132885,2.47190118,2.4704771
0.01329431,2.4724617,2.47104907
0.01330011,2.4729917,2.47159076
0.01330592,2.47349286,2.4721036
0.01331172,2.47399402,2.47261691
0.01331753,2.47449565,2.4731307
0.01332334,2.47499752,2.47364497
0.01332914,2.47550011,2.474159
0.01333495,2.47600293,2.47467399
0.01334075,2.47654772,2.47523236
0.01334656,2.477144,2.47584391
0.01335237,2.47774053,2.47645545
0.01335817,2.47833753,2.47706771
0.01336398,2.47893476,2.47768044
0.01336978,2.47953272,2.47829342
0.01337559,2.48013091,2.47890687
0.01338139,2.48072958,2.47952056
0.0133872,2.48135066,2.48015714
0.01339301,2.48197937,2.48080111
0.01339881,2.48260856,2.48144579
0.01340462,2.48323822,2.48209047
0.01341042,2.48386788,2.48273587
0.01341623,2.48450446,2.48338795
0.01342204,2.48515844,2.4840591
0.01342784,2.4858129,2.48473096
0.01343365,2.4864676,2.48540258
0.01343945,2.48712301,2.48607516
0.01344526,2.4877789,2.48674846
0.01345106,2.48843503,2.48742151
0.01345687,2.48909163,2.48809528
0.01346268,2.48974919,2.48876977
0.01346848,2.49040651,2.48944402
0.01347429,2.49106431,2.4901197
0.01348009,2.49183059,2.49090195
0.0134859,2.49261212,2.49170017
0.01349171,2.49339461,2.49249816
0.01349751,2.49417734,2.49329281
0.01350332,2.49496126,2.49408507
0.01350912,2.49574471,2.49487782
0.01351493,2.4965291,2.49567103
0.01352074,2.49731445,2.49646473
0.01352654,2.49810004,2.49725914
0.01353235,2.49888587,2.49805379
0.01353815,2.49967241,2.49884892
0.01354396,2.50045943,2.49964476
0.01354976,2.50124669,2.50044084
0.01355557,2.50203466,2.50123739
0.01356138,2.50289345,2.50209713
0.01356718,2.5038271,2.50301313
0.01357299,2.50473785,2.50390291
0.01357879,2.50564909,2.50479341
0.0135846,2.50656056,2.50568438
0.01359041,2.50747299,2.50657606
0.01359621,2.5083859,2.50746799
0.01360202,2.5092988,2.50836086
0.01360782,2.51021266,2.50925398
0.01361363,2.51112723,2.51014757
0.01361944,2.51204228,2.51104212
0.01362524,2.51304531,2.51201081
0.01363105,2.5142591,2.51315808
0.01363685,2.51547265,2.51430559
0.01364266,2.51668763,2.51545382
0.01364846,2.51790309,2.51660299
0.01365427,2.51911855,2.51775241
0.01366008,2.5203352,2.5189023
0.01366588,2.52155209,2.52005291
0.01367169,2.52277017,2.52120423
0.01367749,2.52389145,2.52226615
0.0136833,2.52494907,2.52326918
0.01368911,2.52600765,2.52427268
0.01369491,2.52706671,2.52527714
0.01370072,2.52812648,2.52628207
0.01370652,2.52918649,2.52728724
0.01371233,2.53024769,2.52829337
0.01371813,2.53136849,2.5293529
0.01372394,2.53279066,2.53068209
0.01372975,2.53421378,2.53201222
0.01373555,2.53563786,2.53334308
0.01374136,2.53706265,2.53467488
0.01374716,2.53848791,2.5360074
0.01375297,2.53991437,2.53734088
0.01375878,2.54134154,2.53867459
0.01376458,2.54276943,2.54000974
0.01377039,2.54419827,2.54134512
0.01377619,2.54562807,2.54268169
0.013782,2.54705834,2.54401875
0.01378781,2.54848957,2.54535675
0.01379361,2.54992151,2.54669571
0.01379942,2.55135417,2.54803514
0.01380522,2.55278802,2.54937577
0.01381103,2.55422235,2.55071664
0.01381683,2.5557766,2.55218744
0.01382264,2.55734324,2.55367279
0.01382845,2.55891109,2.55515862
0.01383425,2.56047988,2.55664563
0.01384006,2.56204939,2.5581336
0.01384586,2.56361985,2.55962229
0.01385167,2.56519103,2.56111145
0.01385748,2.56676316,2.56260204
0.01386328,2.56833625,2.56409311
0.01386909,2.56991029,2.56558537
0.01387489,2.57148504,2.56707835
0.0138807,2.57306075,2.56857252
0.0138865,2.57463765,2.57006717
0.01389231,2.57621503,2.57156253
0.01389812,2.5780232,2.57334208
0.01390392,2.57984018,2.57513189
0.01390973,2.58165789,2.57692242
0.01391553,2.58347726,2.57871485
0.01392134,2.58529711,2.58050752
0.01392715,2.58711815,2.58230186
0.01393295,2.58887172,2.5840373
0.01393876,2.59031153,2.58550262
0.01394456,2.59175324,2.58696914
0.01395037,2.59319639,2.58843708
0.01395618,2.59464049,2.58990645
0.01396198,2.59608626,2.59137702
0.01396779,2.59753323,2.59284854
0.01397359,2.59898162,2.59432197
0.0139794,2.60043144,2.59579635
0.0139852,2.60196447,2.5974009
0.01399101,2.60352826,2.59905291
0.01399682,2.60509348,2.60070586
0.01400262,2.60665941,2.60236049
0.01400843,2.60822654,2.60401559
0.01401423,2.60979509,2.6056726
0.01402004,2.61136436,2.60733008
0.01402585,2.61293507,2.60898876
0.01403165,2.61430669,2.61049795
0.01403746,2.61528158,2.61170936
0.01404326,2.61625791,2.61292243
0.01404907,2.61723661,2.61413765
0.01405487,2.61821699,2.61535501
0.01406068,2.61919928,2.61657405
0.01406649,2.62018371,2.61779475
0.01407229,2.62116981,2.61901784
0.0140781,2.62215805,2.62024283
0.0140839,2.6231482,2.6214695
0.01408971,2.6241405,2.62269807
0.01409552,2.62513447,2.62392902
0.01410132,2.62613034,2.62516093
0.01410713,2.62712836,2.6263957
0.01411293,2.62812829,2.62763214
0.01411874,2.62911463,2.62887573
0.01412455,2.63005066,2.63013983
0.01413035,2.62986064,2.63034201
0.01413616,2.62890077,2.62981844
0.01414196,2.62794399,2.62929749
0.01414777,2.62699008,2.62877965
0.01415357,2.62603879,2.62826467
0.01415938,2.6250906,2.62775254
0.01416519,2.62413335,2.6272285
0.01417099,2.62313771,2.62665677
0.0141768,2.6221447,2.6260879
0.0141826,2.62115431,2.62552166
0.01418841,2.62016678,2.6249578
0.01419422,2.61918163,2.6243968
0.01420002,2.61819911,2.62383842
0.01420583,2.61721969,2.62328291
0.01421163,2.61624265,2.62273026
0.01421744,2.61526823,2.62218022
0.01422324,2.61359835,2.62093449
0.01422905,2.60905862,2.616822
0.01423486,2.60452461,2.61271524
0.01424066,2.60002232,2.60860276
0.01424647,2.59559798,2.60446739
0.01425227,2.59117866,2.60033679
0.01425808,2.58676386,2.59621048
0.01426389,2.58235359,2.59208965
0.01426969,2.57794881,2.58797288
0.0142755,2.57354879,2.58386159
0.0142813,2.56915355,2.57975531
0.01428711,2.56476307,2.57565355
0.01429292,2.56037784,2.57155657
0.01429872,2.55599737,2.56746483
0.01430453,2.55162239,2.5633781
0.01431033,2.54725194,2.55929637
0.01431614,2.54288673,2.55521941
0.01432194,2.53464603,2.54686069
0.01432775,2.52562118,2.53763437
0.01433356,2.51661086,2.52842236
0.01433936,2.50761604,2.5192256
0.01434517,2.49863625,2.51004386
0.01435097,2.48967171,2.50087762
0.01435678,2.4807229,2.49172664
0.01436259,2.47178984,2.48259139
0.01436839,2.46287251,2.47347188
0.0143742,2.45397115,2.46436858
0.01438,2.44494128,2.45509362
0.01438581,2.43569827,2.44554114
0.01439162,2.4264679,2.43600035
0.01439742,2.41724896,2.42647123
0.01440323,2.40804243,2.41695476
0.01440903,2.39462209,2.40307188
0.01441484,2.37548161,2.38326216
0.01442064,2.35635996,2.36347055
0.01442645,2.33725643,2.34369802
0.01443226,2.31817269,2.32394457
0.01443806,2.29910445,2.30420208
