 Y [ m ], Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01367749,1.32544899,1.32176995
0.0136833,1.32618773,1.32244456
0.01368911,1.32692671,1.3231194
0.01369491,1.32766616,1.32379472
0.01370072,1.32840586,1.32447016
0.01370652,1.32914591,1.32514596
0.01371233,1.32988620,1.32582211
0.01371813,1.33062279,1.32650495
0.01372394,1.33133948,1.32722032
0.01372975,1.33205664,1.32793605
0.01373555,1.33277380,1.32865214
0.01374136,1.33349168,1.32936847
0.01374716,1.33420980,1.33008528
0.01375297,1.33492827,1.33080232
0.01375878,1.33564711,1.33151984
0.01376458,1.33636642,1.33223784
0.01377039,1.33708584,1.33295584
0.01377619,1.33780575,1.33367443
0.013782,1.33852601,1.33439326
0.01378781,1.33924663,1.33511245
0.01379361,1.33996773,1.33583224
0.01379942,1.34068882,1.33655226
0.01380522,1.34141052,1.33727241
0.01381103,1.34213257,1.33799326
0.01381683,1.34265935,1.33858633
0.01382264,1.34314740,1.33915246
0.01382845,1.34363556,1.33971882
0.01383425,1.34412444,1.34028578
0.01384006,1.34461355,1.34085321
0.01384586,1.34510291,1.34142089
0.01385167,1.34559262,1.3419888
0.01385748,1.34608281,1.34255707
0.01386328,1.34657335,1.34312582
0.01386909,1.34706426,1.34369493
0.01387489,1.34755540,1.34426439
0.0138807,1.34804714,1.34483433
0.0138865,1.34853899,1.34540474
0.01389231,1.34903145,1.34597516
0.01389812,1.34927690,1.34636509
0.01390392,1.34951460,1.34674954
0.01390973,1.34975266,1.34713435
0.01391553,1.34999120,1.34751964
0.01392134,1.35023022,1.34790528
0.01392715,1.35046935,1.3482914
0.01393295,1.35064483,1.34861887
0.01393876,1.35052907,1.34867918
0.01394456,1.35041380,1.34873986
0.01395037,1.35029912,1.34880137
0.01395618,1.35018492,1.34886301
0.01396198,1.35007119,1.34892559
0.01396779,1.34995794,1.34898841
0.01397359,1.34984529,1.34905195
0.0139794,1.34973300,1.34911597
0.0139852,1.34944260,1.34902155
0.01399101,1.34908807,1.34887016
0.01399682,1.34873390,1.34871888
0.01400262,1.34837985,1.34856832
0.01400843,1.34802639,1.348418
0.01401423,1.34767342,1.34826827
0.01402004,1.34732068,1.34811866
0.01402585,1.34696829,1.34796977
0.01403165,1.34636927,1.34757853
0.01403746,1.34527791,1.34670365
0.01404326,1.34418726,1.34582937
0.01404907,1.34309745,1.34495616
0.01405487,1.34200823,1.34408355
0.01406068,1.34091985,1.34321165
0.01406649,1.33983219,1.34234047
0.01407229,1.33874524,1.34147012
0.0140781,1.33765900,1.34060061
0.0140839,1.33657360,1.33973181
0.01408971,1.33548903,1.33886361
0.01409552,1.33440506,1.33799648
0.01410132,1.33332181,1.33712983
0.01410713,1.33223951,1.33626425
0.01411293,1.33115780,1.33539927
0.01411874,1.33003509,1.33448946
0.01412455,1.32877088,1.33342457
0.01413035,1.32676291,1.33157599
0.01413616,1.32424665,1.32919133
0.01414196,1.32173157,1.32680798
0.01414777,1.31921768,1.32442582
0.01415357,1.31670511,1.32204509
0.01415938,1.31419384,1.31966555
0.01416519,1.31167722,1.3172822
0.01417099,1.30913949,1.31488252
0.0141768,1.30660307,1.31248403
0.0141826,1.30406773,1.31008685
0.01418841,1.30153358,1.30769086
0.01419422,1.29900038,1.30529594
0.01420002,1.29646873,1.30290246
0.01420583,1.29393816,1.30050981
0.01421163,1.29140890,1.29811859
0.01421744,1.28888059,1.29572856
0.01422324,1.28601730,1.29297888
0.01422905,1.28177142,1.28874564
0.01423486,1.27752805,1.28451502
0.01424066,1.27332127,1.28030109
0.01424647,1.26920843,1.27612722
