Time [s],Monitor Point: CenterVel (Velocity) [m s^-1],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: r0Vel (Velocity) [m s^-1],Monitor Point: r1Vel (Velocity) [m s^-1],Monitor Point: r2Vel (Velocity) [m s^-1],Monitor Point: r3Vel (Velocity) [m s^-1],Monitor Point: r4Vel (Velocity) [m s^-1]
10.1610003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1634998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1660004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1684999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1709995000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1735001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1759996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1785002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1809998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1835003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1859999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1885004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1910000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1934996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1960001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.1984997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2010002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2034998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2060003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2084999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2110004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2135000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2159996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2185001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2209997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2235003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2259998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2285004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2309999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2334995000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2360001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2384996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2410002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2434998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2460003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2484999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2510004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2535000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2559996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2585001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2609997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2635002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.2659998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2685003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2709999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2735004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2760000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2784996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2810001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2834997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2860003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2884998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
10.2910004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427965
