Time [s],Monitor Point: Mouthpiece1mm0mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm1mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm2mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm3mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm4mmTempX0YZ (Temperature) [K]
0.6035000090,293.5022580000,293.4895630000,293.4184270000,293.3196720000,293.2063600000
0.6060000060,293.5057070000,293.4928890000,293.4211730000,293.3214420000,293.2069700000
0.6085000040,293.5091860000,293.4962770000,293.4238890000,293.3232420000,293.2076110000
0.6110000010,293.5126650000,293.4996640000,293.4266660000,293.3250430000,293.2082520000
0.6134999990,293.5161740000,293.5030520000,293.4294430000,293.3268430000,293.2088930000
0.6159999970,293.5197140000,293.5064700000,293.4322200000,293.3286740000,293.2095340000
0.6184999940,293.5232240000,293.5098880000,293.4349980000,293.3305050000,293.2102050000
0.6209999920,293.5267940000,293.5133360000,293.4378050000,293.3323360000,293.2108460000
0.6234999900,293.5303650000,293.5168150000,293.4406430000,293.3341980000,293.2114870000
0.6259999870,293.5339360000,293.5202940000,293.4434810000,293.3360600000,293.2121580000
0.6284999850,293.5375370000,293.5238040000,293.4463500000,293.3379520000,293.2128300000
0.6309999820,293.5411680000,293.5273130000,293.4492190000,293.3398440000,293.2135010000
0.6334999800,293.5448000000,293.5308230000,293.4520870000,293.3417360000,293.2141720000
0.6359999780,293.5484620000,293.5343930000,293.4549870000,293.3436280000,293.2148440000
0.6384999750,293.5521240000,293.5379330000,293.4578860000,293.3455510000,293.2155150000
0.6409999730,293.5558170000,293.5415340000,293.4608150000,293.3474730000,293.2162170000
0.6434999700,293.5595400000,293.5451050000,293.4637760000,293.3493960000,293.2168880000
0.6460000280,293.5632630000,293.5487370000,293.4667050000,293.3513490000,293.2175900000
0.6485000250,293.5669860000,293.5523680000,293.4696660000,293.3533020000,293.2182920000
0.6510000230,293.5707400000,293.5560000000,293.4726560000,293.3552550000,293.2189940000
0.6535000210,293.5745240000,293.5596620000,293.4756470000,293.3572080000,293.2196660000
0.6560000180,293.5783080000,293.5633540000,293.4786680000,293.3591920000,293.2203980000
0.6585000160,293.5820920000,293.5670170000,293.4816890000,293.3611760000,293.2211000000
0.6610000130,293.5859380000,293.5707400000,293.4847110000,293.3631900000,293.2218020000
0.6635000110,293.5897520000,293.5744630000,293.4877620000,293.3652040000,293.2225340000
0.6660000090,293.5936280000,293.5782170000,293.4908450000,293.3672180000,293.2232360000
0.6685000060,293.5975040000,293.5819700000,293.4938960000,293.3692630000,293.2239690000
0.6710000040,293.6013790000,293.5857540000,293.4970090000,293.3712770000,293.2247010000
0.6735000010,293.6052860000,293.5895390000,293.5001220000,293.3733220000,293.2254330000
0.6759999990,293.6092220000,293.5933530000,293.5032350000,293.3753660000,293.2261660000
0.6784999970,293.6131290000,293.5971680000,293.5063480000,293.3774410000,293.2268980000
0.6809999940,293.6170960000,293.6010130000,293.5094910000,293.3795170000,293.2276610000
0.6834999920,293.6210630000,293.6048580000,293.5126650000,293.3816220000,293.2283940000
0.6859999900,293.6250610000,293.6087340000,293.5158390000,293.3836980000,293.2291560000
0.6884999870,293.6290590000,293.6126400000,293.5190120000,293.3858030000,293.2298890000
0.6909999850,293.6330870000,293.6165160000,293.5222170000,293.3879090000,293.2306520000
0.6934999820,293.6371150000,293.6204530000,293.5254520000,293.3900450000,293.2314150000
0.6959999800,293.6411740000,293.6243900000,293.5286560000,293.3921810000,293.2321780000
0.6984999780,293.6452640000,293.6283570000,293.5319210000,293.3943180000,293.2329410000
0.7009999750,293.6493530000,293.6323240000,293.5351560000,293.3964540000,293.2337340000
0.7034999730,293.6534420000,293.6363220000,293.5384220000,293.3986210000,293.2344970000
0.7059999700,293.6575620000,293.6403200000,293.5417180000,293.4007870000,293.2352910000
0.7085000280,293.6617130000,293.6443180000,293.5450130000,293.4029850000,293.2360530000
0.7110000250,293.6658630000,293.6483760000,293.5483400000,293.4051510000,293.2368470000
0.7135000230,293.6700440000,293.6524050000,293.5516360000,293.4073490000,293.2376400000
0.7160000210,293.6742250000,293.6564940000,293.5549930000,293.4095760000,293.2384340000
0.7185000180,293.6784060000,293.6605830000,293.5583500000,293.4117740000,293.2392270000
0.7210000160,293.6826480000,293.6646730000,293.5617070000,293.4140010000,293.2400210000
0.7235000130,293.6868590000,293.6687930000,293.5650940000,293.4162290000,293.2408450000
0.7260000110,293.6911320000,293.6729130000,293.5684810000,293.4184880000,293.2416380000
0.7285000090,293.6954040000,293.6770630000,293.5718990000,293.4207460000,293.2424620000
0.7310000060,293.6996770000,293.6812440000,293.5753170000,293.4230040000,293.2432560000
0.7335000040,293.7039790000,293.6854250000,293.5787350000,293.4252930000,293.2440800000
0.7360000010,293.7083130000,293.6896060000,293.5821840000,293.4275820000,293.2449040000
0.7384999990,293.7126460000,293.6938170000,293.5856630000,293.4298710000,293.2457280000
0.7409999970,293.7170100000,293.6980590000,293.5891420000,293.4321590000,293.2465520000
0.7434999940,293.7213750000,293.7023010000,293.5926210000,293.4344790000,293.2474060000
0.7459999920,293.7257390000,293.7065730000,293.5961300000,293.4367980000,293.2482300000
0.7484999900,293.7301640000,293.7108460000,293.5996400000,293.4391170000,293.2490840000
0.7509999870,293.7345580000,293.7151490000,293.6031800000,293.4414670000,293.2499080000
