Z [ m ],Temperature [ K ]
0.0208029691,321.8746340000
0.0207408778,321.7710880000
0.0206787866,321.6670530000
0.0206166953,321.5607600000
0.0205546040,321.4555970000
0.0204925127,321.3552250000
0.0204304215,321.3284910000
0.0203683302,321.3052980000
0.0203062389,321.2761840000
0.0202441476,321.2105100000
0.0201820564,321.1448060000
0.0201199651,321.0791320000
0.0200578738,320.8735350000
0.0199957825,320.5954900000
0.0199336912,320.3314510000
0.0198716000,320.1175540000
0.0198095087,319.8576050000
0.0197474174,319.7088620000
0.0196853261,319.5877990000
0.0196232349,319.4628910000
0.0195611436,319.3459470000
0.0194990523,319.2452700000
0.0194369610,319.1326290000
0.0193748698,319.0580140000
0.0193127785,319.0258790000
0.0192506872,318.9937440000
0.0191885959,318.9616090000
0.0191265047,318.9182130000
0.0190644134,318.7895810000
0.0190023221,318.6714480000
0.0189402308,318.6820370000
0.0188781396,318.6925660000
0.0188160483,318.7030940000
0.0187539570,318.6193850000
0.0186918657,318.5155030000
0.0186297745,318.4046020000
0.0185676832,318.1923220000
0.0185055919,318.0473940000
0.0184435006,317.9671020000
0.0183814093,317.8868100000
0.0183193181,317.7674560000
0.0182572268,317.6263430000
0.0181951355,317.5021970000
0.0181330442,317.4966740000
0.0180709530,317.3843690000
0.0180088617,317.2638850000
0.0179467704,317.0471800000
0.0178846791,316.8775940000
0.0178225879,316.7680660000
0.0177604966,316.7032170000
0.0176984053,316.6448360000
0.0176363140,316.5404660000
0.0175742228,316.3835140000
0.0175121315,316.1652220000
0.0174500402,315.9469910000
0.0173879489,315.7287290000
0.0173258577,315.5262450000
0.0172637664,315.3528140000
0.0172016751,315.3683170000
0.0171395838,315.4194030000
0.0170774926,315.4705200000
0.0170154013,315.3559880000
0.0169533100,315.2032170000
0.0168912187,315.0727540000
0.0168291274,314.9431150000
0.0167670362,314.8204960000
0.0167049449,314.5953980000
0.0166428536,314.2876890000
0.0165807623,314.0393980000
0.0165186711,313.8063960000
0.0164565798,313.6461180000
0.0163944885,313.5322270000
0.0163323972,313.4914550000
0.0162703060,313.4507140000
0.0162082147,313.2966920000
0.0161461234,313.1088260000
0.0160840321,313.0003050000
0.0160219409,312.8423770000
0.0159598496,312.6844480000
0.0158977583,312.5264890000
0.0158356670,312.3834530000
0.0157735758,312.2494510000
0.0157114845,312.1087340000
0.0156493932,311.9414060000
0.0155873010,311.7741090000
0.0155252088,311.6037900000
0.0154631166,311.4156800000
0.0154010244,311.2609560000
0.0153389322,311.0915830000
0.0152768400,310.9434810000
0.0152147477,310.8836060000
0.0151526555,310.8236690000
0.0150905633,310.8027040000
0.0150284711,310.6067810000
0.0149663789,310.4125980000
0.0149042867,310.1434630000
0.0148421945,309.8460080000
0.0147801023,309.5485840000
0.0147180101,309.3231810000
0.0146559179,309.1623230000
0.0145938257,309.1342160000
0.0145317335,309.1657710000
0.0144696413,309.0228270000
0.0144075491,308.7648320000
0.0143454568,308.5355220000
0.0142833646,308.3473510000
0.0142212724,308.2346500000
0.0141591802,308.0861510000
0.0140970880,307.9228820000
0.0140349958,307.8508300000
0.0139729036,307.8203130000
0.0139108114,307.7332760000
0.0138487192,307.5294190000
0.0137866270,307.4023440000
0.0137245348,307.2500310000
0.0136624426,307.0937190000
0.0136003504,306.9373780000
0.0135382582,306.7599790000
0.0134761659,306.5847170000
0.0134140737,306.4219360000
0.0133519815,306.3274840000
0.0132898893,306.2580260000
0.0132277971,306.1780090000
0.0131657049,306.0096440000
0.0131036127,305.7356570000
0.0130415205,305.4616700000
0.0129794283,305.2833860000
0.0129173361,305.2036440000
0.0128552439,305.0371400000
0.0127931517,304.9884340000
0.0127310595,304.9741820000
0.0126689672,304.9599300000
0.0126068750,304.9367370000
0.0125447828,304.7758790000
0.0124826906,304.6149600000
0.0124205984,304.4010930000
0.0123585062,304.1403810000
0.0122964140,303.8796390000
0.0122343218,303.6900630000
0.0121722296,303.5196230000
0.0121101374,303.3227230000
0.0120480452,303.1640630000
0.0119859530,303.1334840000
0.0119238608,303.1173400000
0.0118617686,303.1011660000
0.0117996763,302.9351200000
0.0117375841,302.7630620000
0.0116754919,302.5910340000
0.0116133997,302.4189760000
0.0115513075,302.2469180000
0.0114892153,302.1124570000
0.0114271231,301.9823610000
0.0113650309,301.8523250000
0.0113029387,301.7225040000
0.0112408465,301.6816410000
0.0111787543,301.6251830000
0.0111166621,301.4128420000
0.0110545699,301.2331540000
0.0109924776,301.0562440000
0.0109303854,300.8793330000
0.0108682932,300.7023930000
0.0108062010,300.5254520000
0.0107441088,300.3847050000
0.0106820166,300.2311100000
0.0106199244,300.0774840000
0.0105578322,299.9593810000
0.0104957400,299.9925230000
0.0104336478,300.0769040000
0.0103715556,300.0169680000
0.0103094634,299.6956480000
0.0102473712,299.5200810000
0.0101852790,299.3708190000
0.0101231867,299.2613530000
0.0100610945,299.1518860000
0.0099990023,299.0326540000
0.0099369101,298.8447880000
0.0098748179,298.6910710000
0.0098127257,298.5373540000
0.0097506335,298.3836060000
0.0096885413,298.2429810000
0.0096264491,298.2098390000
0.0095643569,298.1766660000
0.0095022647,297.9430240000
0.0094401725,297.6825870000
0.0093780803,297.5156860000
0.0093159881,297.4934690000
0.0092538958,297.4712220000
0.0091918036,297.4490050000
0.0091297114,297.1921390000
0.0090676192,296.9335330000
0.0090055270,296.7628780000
0.0089434348,296.7166140000
0.0088813426,296.6703490000
0.0088192504,296.6241460000
0.0087571582,296.5801390000
0.0086950660,296.4038700000
0.0086329738,296.2169190000
0.0085708816,296.0299680000
0.0085087894,295.8430180000
0.0084466972,295.6840820000
0.0083846049,295.5604860000
0.0083225127,295.4471740000
0.0082604205,295.4068910000
0.0081983283,295.3674620000
0.0081362361,295.3280030000
0.0080741439,295.2886050000
0.0080120517,295.2491760000
0.0079499595,295.2097470000
0.0078878673,295.1687930000
0.0078257751,295.1275020000
0.0077636829,295.0525820000
0.0077015907,295.0215450000
0.0076394985,295.0010990000
0.0075774062,294.9806820000
0.0075153140,294.9602660000
0.0074532218,294.9128110000
0.0073911296,294.8264160000
0.0073290374,294.7331540000
0.0072669452,294.6293330000
0.0072048530,294.5740050000
0.0071427608,294.5655210000
0.0070806686,294.5570070000
0.0070185764,294.5461430000
0.0069564842,294.4821780000
0.0068943920,294.4182130000
0.0068322998,294.3501890000
0.0067702076,294.2791140000
0.0067081153,294.2135010000
0.0066460231,294.1381840000
0.0065839309,294.0866390000
0.0065218387,294.0480650000
0.0064597465,294.0385440000
0.0063976543,294.0402830000
0.0063355621,294.0380250000
0.0062734699,293.9605100000
0.0062113777,293.9126590000
0.0061492855,293.8666690000
0.0060871933,293.8211980000
0.0060251011,293.7757260000
0.0059630089,293.7320860000
0.0059009166,293.6933290000
0.0058388244,293.6639400000
0.0057767322,293.6348880000
0.0057146400,293.5963440000
0.0056525478,293.5561520000
0.0055904556,293.5159300000
0.0055283634,293.4757390000
0.0054662712,293.4469600000
0.0054041790,293.4313050000
0.0053420868,293.4122010000
0.0052799946,293.4010620000
0.0052179024,293.3899230000
0.0051558102,293.3787840000
0.0050937180,293.3690190000
0.0050316257,293.3630070000
0.0049695335,293.3500370000
0.0049074413,293.3433840000
0.0048453491,293.3250730000
0.0047832569,293.3153380000
0.0047211647,293.3072510000
0.0046590725,293.2991640000
0.0045969803,293.2919920000
0.0045348881,293.2761230000
0.0044727959,293.2613220000
0.0044107037,293.2496030000
0.0043486115,293.2468570000
0.0042865193,293.2392580000
0.0042244270,293.2254640000
0.0041623348,293.2178960000
0.0041002426,293.2123410000
0.0040381504,293.2067260000
0.0039760582,293.2011720000
0.0039139660,293.1971130000
0.0038518738,293.1956180000
0.0037897816,293.1941530000
0.0037276894,293.1894840000
0.0036655972,293.1838680000
0.0036035050,293.1783140000
0.0035414128,293.1726990000
0.0034793206,293.1671450000
0.0034172284,293.1625370000
0.0033551361,293.1596680000
0.0032930439,293.1587830000
0.0032309517,293.1580810000
0.0031688595,293.1573790000
0.0031067673,293.1566470000
0.0030446751,293.1559750000
0.0029825829,293.1536250000
0.0029204907,293.1526490000
0.0028583985,293.1516720000
0.0027963063,293.1507570000
0.0027342141,293.1504210000
0.0026721219,293.1501460000
0.0026100297,293.1493530000
0.0025479375,293.1488950000
0.0024858452,293.1489560000
0.0024237530,293.1489870000
0.0023616608,293.1490480000
0.0022995686,293.1491390000
0.0022374764,293.1492310000
0.0021753842,293.1492920000
0.0021132920,293.1493840000
0.0020511998,293.1494750000
0.0019891076,293.1495670000
0.0019270155,293.1496580000
0.0018649234,293.1497500000
0.0018028313,293.1497800000
0.0017407392,293.1498720000
0.0016786471,293.1499020000
0.0016165550,293.1499330000
