Z [ m ],Velocity [ m s^-1 ]
0.0095022647,1.0510245600
0.0094401725,1.0519921800
0.0093780803,1.0525430400
0.0093159881,1.0524507800
0.0092538958,1.0523587500
0.0091918036,1.0522666000
0.0091297114,1.0528944700
0.0090676192,1.0535277100
0.0090055270,1.0538035600
0.0089434348,1.0535794500
0.0088813426,1.0533552200
0.0088192504,1.0531311000
0.0087571582,1.0528500100
0.0086950660,1.0527898100
0.0086329738,1.0527501100
0.0085708816,1.0527102900
0.0085087894,1.0526703600
0.0084466972,1.0525147900
0.0083846049,1.0521597900
0.0083225127,1.0513399800
0.0082604205,1.0497760800
0.0081983283,1.0482039500
0.0081362361,1.0466318100
0.0080741439,1.0450596800
0.0080120517,1.0434876700
0.0079499595,1.0419155400
0.0078878673,1.0403037100
0.0078257751,1.0386673200
0.0077636829,1.0371450200
0.0077015907,1.0353597400
0.0076394985,1.0335197400
0.0075774062,1.0316797500
0.0075153140,1.0298397500
0.0074532218,1.0280935800
0.0073911296,1.0264720900
0.0073290374,1.0249197500
0.0072669452,1.0234494200
0.0072048530,1.0216825000
0.0071427608,1.0196297200
0.0070806686,1.0175768100
0.0070185764,1.0156425200
0.0069564842,1.0138801300
0.0068943920,1.0121178600
0.0068322998,1.0102777500
0.0067702076,1.0083785100
0.0067081153,1.0064109600
0.0066460231,1.0044928800
0.0065839309,1.0024591700
0.0065218387,1.0003371200
0.0064597465,0.9980168940
0.0063976543,0.9956764580
0.0063355621,0.9933676120
0.0062734699,0.9914051890
0.0062113777,0.9893335100
0.0061492855,0.9871224160
0.0060871933,0.9848726990
0.0060251011,0.9826230410
0.0059630089,0.9803763630
0.0059009166,0.9781336780
0.0058388244,0.9758437870
0.0057767322,0.9735599160
0.0057146400,0.9710443620
0.0056525478,0.9684871440
0.0055904556,0.9659297470
0.0055283634,0.9633725290
0.0054662712,0.9608533380
0.0054041790,0.9583842160
0.0053420868,0.9557313920
0.0052799946,0.9530115720
0.0052179024,0.9502916340
0.0051558102,0.9475718740
