 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01361363,0.94884646,0.94871289
0.01361944,0.94896561,0.94883329
0.01362524,0.94908500,0.94895387
0.01363105,0.94919860,0.94906801
0.01363685,0.94930685,0.94917613
0.01364266,0.94941509,0.94928443
0.01364846,0.94952357,0.94939262
0.01365427,0.94963193,0.94950092
0.01366008,0.94974035,0.94960934
0.01366588,0.94984895,0.94971794
0.01367169,0.94995749,0.94982636
0.01367749,0.95006609,0.94993496
0.0136833,0.95017475,0.95004344
0.01368911,0.95028347,0.95015216
0.01369491,0.95041776,0.95028555
0.01370072,0.95056540,0.95043194
0.01370652,0.95071304,0.95057833
0.01371233,0.95086080,0.95072478
0.01371813,0.95100510,0.95086873
0.01372394,0.95114881,0.95101231
0.01372975,0.95129257,0.95115596
0.01373555,0.95143652,0.95129973
0.01374136,0.95158035,0.95144343
0.01374716,0.95172441,0.95158726
0.01375297,0.95186847,0.9517312
0.01375878,0.95201260,0.95187515
0.01376458,0.95214552,0.95200676
0.01377039,0.95227349,0.9521327
0.01377619,0.95240164,0.95225888
0.013782,0.95252967,0.95238501
0.01378781,0.95266271,0.95251614
0.01379361,0.95284885,0.95270175
0.01379942,0.95303494,0.95288748
0.01380522,0.95322126,0.95307332
0.01381103,0.95340759,0.95325941
0.01381683,0.95359403,0.95344537
0.01382264,0.95378059,0.95363152
0.01382845,0.95396727,0.95381778
0.01383425,0.95415401,0.95400405
0.01384006,0.95434082,0.95419037
0.01384586,0.95452785,0.95437706
0.01385167,0.95471483,0.95456368
0.01385748,0.95490199,0.95475042
0.01386328,0.95508927,0.95493722
0.01386909,0.95527655,0.95512414
0.01387489,0.95546401,0.95531112
0.0138807,0.95564777,0.95549452
0.0138865,0.95581049,0.95565784
0.01389231,0.95600021,0.95584875
0.01389812,0.95620632,0.9560563
0.01390392,0.95643568,0.95628744
0.01390973,0.95668566,0.95653975
0.01391553,0.95693570,0.95679212
0.01392134,0.95718586,0.95704466
0.01392715,0.95743614,0.95729727
0.01393295,0.95768654,0.95754999
0.01393876,0.95793718,0.95780271
0.01394456,0.95818770,0.95805573
0.01395037,0.95843852,0.95830888
0.01395618,0.95868945,0.95856208
0.01396198,0.95894045,0.9588154
0.01396779,0.95922905,0.95910639
0.01397359,0.95953262,0.95941252
0.0139794,0.95983648,0.95971882
0.0139852,0.96014047,0.96002525
0.01399101,0.96044463,0.96033198
0.01399682,0.96074903,0.96063876
0.01400262,0.96105349,0.96094579
0.01400843,0.96135831,0.96125305
0.01401423,0.96166319,0.96156049
0.01402004,0.96196818,0.96186811
0.01402585,0.96227354,0.96217579
0.01403165,0.96257889,0.9624837
0.01403746,0.96288455,0.96279186
0.01404326,0.96319026,0.96310014
0.01404907,0.96347976,0.96339232
0.01405487,0.96378142,0.9636966
0.01406068,0.96413660,0.96405339
0.01406649,0.96450275,0.96442163
0.01407229,0.96491694,0.96483934
0.0140781,0.96533138,0.96525741
0.0140839,0.96574599,0.96567553
0.01408971,0.96616071,0.96609384
0.01409552,0.96657580,0.9665125
0.01410132,0.96699101,0.96693128
0.01410713,0.96740651,0.96735036
0.01411293,0.96782207,0.96776956
0.01411874,0.96823800,0.96818888
0.01412455,0.96865398,0.9686085
0.01413035,0.96907026,0.96902829
0.01413616,0.96948671,0.96944845
0.01414196,0.96990335,0.96986854
0.01414777,0.97039312,0.97036189
0.01415357,0.97104442,0.97101671
0.01415938,0.97169602,0.971672
0.01416519,0.97234827,0.97232765
0.01417099,0.97300053,0.97298348
